#{"t_start": 1784240578.9929674, "env_id": "None"}
r,l,t
508.651461,100,205.558325
457.709203,100,407.540114
502.332165,100,609.614561
494.821616,100,811.564998
448.198274,100,1013.590867
478.842666,100,1215.634414
461.254067,100,1417.656258
478.245426,100,1619.608412
494.136312,100,1821.670616
482.176546,100,2023.658009
454.142668,100,2225.762124
488.579694,100,2427.724738
465.449681,100,2629.710685
503.838581,100,2831.693556
497.662974,100,3033.751126
497.371181,100,3235.767994
475.474223,100,3437.797316
491.940874,100,3639.8045
469.10001,100,3841.813024
505.587571,100,4043.858939
467.031671,100,4245.859043
462.889694,100,4447.90736
508.665777,100,4649.894506
504.811923,100,4851.890571
509.431463,100,5053.960658
493.487701,100,5255.946288
492.323177,100,5457.824745
479.459954,100,5660.08001
463.07186,100,5862.003524
470.464433,100,6064.020508
450.935756,100,6266.028602
460.000973,100,6468.110045
500.692463,100,6670.12694
493.981637,100,6872.110719
464.212625,100,7074.044714
481.420841,100,7276.067711
487.621081,100,7478.200972
504.663072,100,7680.12551
496.078786,100,7882.186555
504.528266,100,8084.147242
470.511678,100,8286.310006
492.798845,100,8488.285669
493.808655,100,8690.215583
511.542765,100,8892.250337
468.911629,100,9094.25551
472.529232,100,9296.357565
489.202618,100,9498.280044
459.121659,100,9700.368999
465.439603,100,9902.462725
515.986471,100,10104.407055
501.443751,100,10306.383142
478.935322,100,10508.359056
496.182926,100,10710.413742
494.805905,100,10912.489033
507.838617,100,11114.410509
494.270399,100,11316.401266
475.499288,100,11518.496517
467.213994,100,11720.525295
468.535762,100,11922.624385
488.927052,100,12124.544553
483.179889,100,12326.496031
482.127409,100,12528.556269
474.247584,100,12730.585526
492.951258,100,12932.62806
492.818714,100,13134.588972
494.402576,100,13336.63607
495.332485,100,13538.669064
479.380286,100,13740.658944
482.589135,100,13942.678896
488.016585,100,14144.706604
455.998657,100,14346.781187
492.780568,100,14548.75628
494.370084,100,14750.731968
476.569018,100,14952.751919
440.822111,100,15154.816617
472.2447,100,15356.794579
496.755255,100,15558.86506
473.500638,100,15760.789979
480.22375,100,15962.889027
463.688253,100,16164.871836
493.376369,100,16366.895991
491.247825,100,16568.92564
479.642988,100,16770.954248
464.968206,100,16972.938468
513.807695,100,17174.951486
453.877816,100,17377.000924
467.284702,100,17578.989846
491.224169,100,17781.034274
488.083829,100,17983.004409
477.1402,100,18184.968645
485.872921,100,18386.985673
460.807107,100,18589.057764
497.938482,100,18791.117107
492.855563,100,18993.115671
505.883029,100,19195.165602
472.182884,100,19397.128468
488.385279,100,19599.131703
489.060803,100,19801.213633
465.214704,100,20003.20413
479.982967,100,20205.227414
500.554695,100,20407.273668
495.026587,100,20609.268916
472.81186,100,20811.22296
492.753125,100,21013.288221
487.82593,100,21215.271043
497.084973,100,21417.299457
477.650926,100,21619.293467
480.218543,100,21821.344667
506.156032,100,22023.365513
505.144851,100,22225.372111
479.949139,100,22427.282396
493.579666,100,22629.387773
489.729476,100,22831.398612
481.090495,100,23033.410471
496.944699,100,23235.467648
482.816395,100,23437.458349
463.433055,100,23639.535117
448.807198,100,23841.495696
490.802659,100,24043.54498
469.86704,100,24245.613704
482.520684,100,24447.54847
499.921451,100,24649.637948
501.102602,100,24851.547531
486.798558,100,25053.592945
486.443875,100,25255.659811
451.993387,100,25457.612707
491.139193,100,25659.734381
472.745801,100,25861.744587
492.032418,100,26063.760614
500.565378,100,26265.707483
466.675865,100,26467.739124
493.768598,100,26669.746452
489.795303,100,26871.712289
468.940261,100,27073.823032
478.755228,100,27275.73462
465.522559,100,27477.865448
466.823229,100,27679.864767
482.422477,100,27881.745994
495.133263,100,28083.82891
499.561423,100,28285.905861
498.474273,100,28487.966663
477.2723,100,28689.847963
475.615745,100,28891.923084
473.834472,100,29093.941911
495.592807,100,29295.845049
479.094529,100,29497.986354
502.305567,100,29700.010937
491.881045,100,29901.996941
470.521476,100,30104.059776
476.539956,100,30306.061682
505.880221,100,30508.10977
447.01657,100,30710.040751
468.476542,100,30912.05611
482.883136,100,31114.096859
472.354319,100,31316.106354
472.941678,100,31518.130132
509.759401,100,31720.180409
494.530977,100,31922.180279
487.731935,100,32124.154084
443.568438,100,32326.300652
449.032698,100,32528.219422
476.835851,100,32730.202034
469.382851,100,32932.27664
509.927268,100,33134.243034
465.088613,100,33336.311213
451.455318,100,33538.305271
493.001378,100,33740.344047
460.763446,100,33942.380749
479.127837,100,34144.48608
455.162803,100,34346.3891
464.233825,100,34548.450011
490.042836,100,34750.395171
452.311331,100,34952.424196
494.112657,100,35154.428619
508.80277,100,35356.534731
479.000318,100,35558.506536
468.983571,100,35760.549425
485.554126,100,35962.604518
450.220885,100,36164.551137
475.320025,100,36366.537556
515.380103,100,36568.581494
475.056836,100,36770.63652
471.613094,100,36972.660951
501.244275,100,37174.601312
485.989186,100,37376.692737
454.165831,100,37578.665225
474.491897,100,37780.552094
499.649666,100,37982.68803
475.243457,100,38184.77839
501.493247,100,38386.720174
484.277942,100,38588.704231
472.565265,100,38790.747511
483.007673,100,38992.784897
447.46583,100,39194.795218
513.351333,100,39396.824862
496.854874,100,39598.901172
455.943799,100,39800.879724
507.377735,100,40002.908092
494.765843,100,40204.924838
470.243941,100,40406.937648
