#{"t_start": 1784310360.3460162, "env_id": "None"}
r,l,t
410.848049,100,206.44401
435.283406,100,408.363174
421.445903,100,610.440589
383.593996,100,812.562915
432.031424,100,1014.478209
420.924474,100,1216.685205
427.366055,100,1418.500706
411.912339,100,1620.452377
392.27251,100,1822.637621
415.57805,100,2024.657665
403.156518,100,2226.560456
427.92826,100,2428.744067
422.222116,100,2630.839685
421.383931,100,2832.634189
378.238623,100,3034.718034
392.37309,100,3236.702271
430.593546,100,3438.708208
399.956148,100,3640.690964
415.451857,100,3842.970078
358.629121,100,4044.775469
385.410616,100,4246.855465
393.43359,100,4448.786126
435.286938,100,4650.81434
405.51501,100,4852.926634
397.645268,100,5054.847264
396.531281,100,5256.939087
402.154416,100,5458.922143
434.103474,100,5660.890111
381.354094,100,5863.005616
385.55038,100,6065.014621
351.310779,100,6266.981391
374.997169,100,6468.967624
399.573209,100,6671.093341
385.933175,100,6873.133893
417.9955,100,7074.985546
389.877276,100,7276.877571
382.556289,100,7479.261726
389.991384,100,7681.254082
447.919269,100,7883.034704
415.812992,100,8085.421544
398.148992,100,8287.235705
397.271129,100,8489.151401
445.99321,100,8691.162724
364.926745,100,8893.121548
408.637155,100,9095.336977
425.329093,100,9297.261221
365.530306,100,9499.360233
388.540675,100,9701.130348
425.88957,100,9903.316069
428.35166,100,10105.373883
397.705778,100,10307.424995
377.908929,100,10509.448062
401.90551,100,10711.377339
370.704063,100,10913.438344
394.483347,100,11115.486936
366.67422,100,11317.44764
398.484137,100,11519.571596
380.983004,100,11721.411302
410.869674,100,11923.508855
435.9486,100,12125.622974
379.531709,100,12327.508173
412.746076,100,12529.480402
435.623816,100,12732.533911
389.012223,100,12933.732475
351.9858,100,13135.526841
367.134912,100,13337.585442
409.793996,100,13539.729309
398.674485,100,13741.63603
406.833868,100,13943.663547
413.893765,100,14145.621034
420.686075,100,14347.679974
385.264964,100,14549.971668
387.016084,100,14751.815728
412.444509,100,14953.82988
415.230836,100,15155.728334
403.361598,100,15357.823905
347.449915,100,15559.877623
415.193926,100,15761.797173
423.66451,100,15963.790664
427.508078,100,16165.640159
419.145551,100,16367.67094
403.519454,100,16569.872177
412.003015,100,16771.920111
412.860593,100,16973.859295
396.130865,100,17175.905384
407.290854,100,17377.959683
345.754565,100,17580.023087
369.353023,100,17781.931226
401.501293,100,17984.045324
430.037039,100,18186.039045
419.599102,100,18387.986364
435.572354,100,18590.087584
403.023378,100,18792.337348
406.641495,100,18994.087493
392.476899,100,19196.089215
410.100257,100,19398.1992
417.562219,100,19600.199974
405.595162,100,19802.248119
403.636745,100,20004.425235
408.299046,100,20206.31472
407.030024,100,20408.178795
433.675905,100,20610.112697
418.64442,100,20812.366642
382.168922,100,21014.302208
382.47057,100,21216.256991
424.72241,100,21418.224056
410.35998,100,21620.273618
352.361146,100,21822.607415
399.198491,100,22024.518855
389.909043,100,22226.608685
397.268911,100,22428.583153
379.39732,100,22630.547366
428.19666,100,22832.465336
392.158115,100,23034.663488
438.379082,100,23236.522581
366.5706,100,23438.562074
406.641216,100,23640.653172
386.859805,100,23842.608362
388.335354,100,24044.445552
439.598783,100,24246.63169
375.136618,100,24448.817285
419.080769,100,24650.648822
422.357738,100,24852.875813
398.339859,100,25054.730858
403.097057,100,25256.772523
404.540306,100,25458.925248
371.237849,100,25660.753046
403.245157,100,25862.816947
391.045265,100,26064.982609
378.966551,100,26266.829675
360.428646,100,26468.793429
388.122866,100,26670.794185
376.020813,100,26872.82007
428.826351,100,27074.931676
403.331114,100,27276.929033
418.109612,100,27479.039766
413.214744,100,27681.033528
419.764951,100,27882.967057
401.015761,100,28085.026193
410.665506,100,28287.065641
396.421912,100,28489.058547
379.297853,100,28691.169688
392.066482,100,28893.150604
431.75114,100,29095.133435
423.205911,100,29297.208277
424.894951,100,29499.375091
432.015269,100,29701.317222
407.07132,100,29903.54981
366.197058,100,30105.154854
411.54668,100,30307.239896
441.864981,100,30509.240808
422.067082,100,30711.267219
427.56227,100,30913.306273
397.652764,100,31115.669922
424.202724,100,31317.520022
425.405988,100,31519.335832
406.801431,100,31721.462615
422.015304,100,31923.283206
437.458854,100,32125.516264
377.062282,100,32327.52106
385.360692,100,32529.461248
420.23322,100,32731.32151
391.304035,100,32933.411432
388.386093,100,33135.543816
425.844731,100,33337.467105
387.946358,100,33539.55133
464.765497,100,33741.665447
403.240418,100,33943.605775
387.660395,100,34145.579094
421.494587,100,34347.679382
377.290009,100,34549.662075
391.912255,100,34751.559834
359.128107,100,34953.631191
366.916651,100,35155.637237
399.932598,100,35357.678329
404.612038,100,35559.6745
434.862675,100,35761.718415
347.279953,100,35963.835397
426.390273,100,36165.811024
431.060094,100,36367.786247
397.502313,100,36569.797742
417.999267,100,36771.876081
394.366159,100,36973.976383
410.651346,100,37176.132898
423.358517,100,37377.686378
380.204274,100,37580.120514
406.422332,100,37781.894502
425.759113,100,37984.003322
383.87332,100,38185.970617
413.982569,100,38388.229592
418.741788,100,38590.206193
405.305526,100,38792.054341
379.112409,100,38994.311133
383.435435,100,39196.118984
395.764949,100,39398.102565
408.552351,100,39600.231308
404.298789,100,39802.264683
398.83482,100,40004.257054
412.599275,100,40206.246021
416.709227,100,40408.264842
