#{"t_start": 1784385687.003452, "env_id": "None"}
r,l,t
177.164496,100,203.193974
220.119251,100,405.291898
176.161099,100,607.362003
189.778926,100,810.026435
221.045879,100,1012.385249
161.618186,100,1214.496836
199.776206,100,1416.494776
177.079413,100,1619.822546
174.334094,100,1822.875866
200.970513,100,2024.927213
196.184052,100,2228.344002
160.021477,100,2430.86519
178.762849,100,2632.840473
191.942381,100,2835.100238
148.976229,100,3038.03364
181.236583,100,3239.760989
204.844248,100,3442.268733
134.792804,100,3644.656296
127.226817,100,3847.133697
188.303983,100,4050.344932
148.922751,100,4252.169583
171.389406,100,4454.476117
183.355825,100,4657.420938
195.08416,100,4859.755849
212.347277,100,5061.909266
219.638682,100,5264.480811
106.260249,100,5466.864739
151.323964,100,5669.324998
209.221034,100,5871.77264
120.702013,100,6074.381115
157.459265,100,6276.854974
238.618434,100,6479.304073
229.548371,100,6681.465909
192.250265,100,6883.934435
213.322433,100,7086.293673
191.233988,100,7289.147794
177.747875,100,7490.966644
205.137381,100,7693.362363
160.401911,100,7895.648936
164.027322,100,8098.09419
212.770941,100,8300.363957
158.849096,100,8502.401485
219.638472,100,8705.022217
118.897751,100,8907.608527
168.50652,100,9110.140513
194.162896,100,9312.942964
225.970956,100,9515.567605
184.441711,100,9717.594647
165.175845,100,9920.101275
141.197947,100,10123.430926
148.040947,100,10325.575366
137.708315,100,10528.790219
137.491378,100,10731.659537
147.615064,100,10934.92469
205.865556,100,11137.063225
166.094424,100,11339.928573
207.864461,100,11542.389649
216.886279,100,11744.604429
175.047543,100,11947.222817
187.153012,100,12149.392609
161.085139,100,12352.065774
103.546233,100,12554.26077
132.102338,100,12756.952594
165.433671,100,12959.830568
179.494573,100,13162.294162
147.197249,100,13365.188925
144.725274,100,13568.069498
98.027888,100,13771.617512
142.430898,100,13974.749581
89.318419,100,14180.372948
-0.104648,100,14384.487407
108.93879,100,14587.120248
160.053918,100,14789.179548
148.042156,100,14993.128654
159.952349,100,15196.038748
96.09748,100,15399.826294
154.098987,100,15602.213787
205.851158,100,15804.526726
111.160392,100,16007.496931
169.194342,100,16210.091127
111.38233,100,16413.151416
122.76715,100,16616.116993
126.266884,100,16819.665814
141.125676,100,17022.760219
200.827658,100,17224.956401
69.449702,100,17431.616609
134.337039,100,17634.223182
77.239089,100,17837.920688
139.738052,100,18040.640363
98.302708,100,18244.28946
160.910013,100,18447.335763
151.934644,100,18649.637662
153.207422,100,18853.027058
135.461714,100,19056.195252
115.599773,100,19258.219829
65.559371,100,19461.909775
165.060579,100,19664.910213
157.543695,100,19867.684171
192.412707,100,20070.032923
116.649255,100,20273.023655
197.513898,100,20475.192086
142.885848,100,20678.327933
185.053607,100,20881.224783
232.772457,100,21083.466632
187.31661,100,21285.912734
184.798501,100,21487.998941
146.687218,100,21691.159886
186.467915,100,21892.759024
191.241039,100,22095.011115
173.428661,100,22297.862177
217.426006,100,22499.972718
195.371043,100,22702.772924
178.332671,100,22904.446367
151.45746,100,23106.83165
215.738472,100,23308.920763
100.95254,100,23512.667916
187.246675,100,23715.600884
181.063676,100,23917.818586
189.399698,100,24120.635376
229.093136,100,24322.969573
196.27747,100,24525.679191
202.537509,100,24728.397212
173.440993,100,24930.742205
190.161903,100,25133.304739
194.514123,100,25335.477597
190.196698,100,25538.447222
240.972252,100,25740.753179
196.000512,100,25943.225891
123.942652,100,26146.81351
193.966213,100,26350.154135
110.366044,100,26552.836535
146.265125,100,26755.652624
178.724669,100,26959.221464
165.60037,100,27162.381596
161.029094,100,27364.973416
145.115117,100,27569.423925
164.271233,100,27772.59166
146.576788,100,27975.665533
210.542979,100,28179.048477
206.2806,100,28382.005423
128.852739,100,28584.771503
147.730218,100,28787.869913
149.931798,100,28991.000046
197.27515,100,29193.813619
154.712948,100,29397.287733
121.620898,100,29600.511932
142.180385,100,29803.421285
151.358846,100,30006.233104
117.594387,100,30208.306969
205.718028,100,30410.379967
184.373177,100,30612.48028
179.986485,100,30815.225866
170.106283,100,31016.986556
155.296876,100,31219.352406
163.425393,100,31421.856659
205.92431,100,31623.493395
168.982499,100,31825.889505
180.328866,100,32028.76729
162.980565,100,32230.656759
212.62178,100,32433.277014
168.580981,100,32636.214297
216.206051,100,32838.702055
204.85147,100,33040.204062
194.548787,100,33243.219721
176.371768,100,33445.257106
163.611474,100,33655.461209
189.488242,100,33857.902956
180.010691,100,34060.362587
199.293515,100,34263.024438
167.689313,100,34465.568268
196.403147,100,34668.215171
178.279681,100,34870.214253
159.219706,100,35072.371957
139.670123,100,35275.630863
215.042796,100,35477.466272
223.042529,100,35679.929919
207.910761,100,35882.133247
247.477071,100,36084.526116
201.776025,100,36286.733798
243.511317,100,36489.916743
193.620405,100,36691.499325
155.776693,100,36894.100066
186.953995,100,37096.443916
199.477884,100,37298.804473
188.760059,100,37501.10295
223.526865,100,37703.117832
192.685975,100,37905.278118
139.766067,100,38107.92885
216.453389,100,38309.780624
197.10157,100,38511.730058
203.944093,100,38713.973857
196.789319,100,38916.669408
248.592759,100,39118.583578
188.812847,100,39320.927789
191.99385,100,39523.248058
182.540233,100,39725.29221
192.904891,100,39928.139108
218.0082,100,40129.912918
197.606676,100,40332.384468
156.937354,100,40534.94282
