#{"t_start": 1784395646.549664, "env_id": "None"}
r,l,t
330.834049,100,1.393888
307.647047,100,1.491621
291.41715,100,1.631964
299.152308,100,1.800562
345.535185,100,1.903892
296.848328,100,2.016035
343.208933,100,2.131246
301.361744,100,2.237967
310.31288,100,2.336767
305.519617,100,2.434025
371.020556,100,3.559742
314.570529,100,3.771211
309.920051,100,3.967734
336.77476,100,4.168082
313.029042,100,4.358655
312.200573,100,4.549258
260.652145,100,4.754757
291.757393,100,4.949996
307.104178,100,5.168653
295.118247,100,5.389992
353.573612,100,6.420711
289.706104,100,6.526399
353.141386,100,6.626523
360.818732,100,6.722004
321.337831,100,6.832901
335.581515,100,6.931555
327.449368,100,7.026598
328.489136,100,7.123932
255.146007,100,7.21608
303.838611,100,7.312251
290.854373,100,8.578887
291.52667,100,8.762521
309.746248,100,8.960826
282.05536,100,9.139536
323.150131,100,9.319049
314.749618,100,9.497743
340.02478,100,9.68553
342.614627,100,9.836871
290.337313,100,9.982185
316.146004,100,10.146286
354.796525,100,11.43013
310.259546,100,11.669593
283.684565,100,11.888577
304.831864,100,12.106925
369.169497,100,12.328532
330.877861,100,12.544652
333.161401,100,12.770025
299.63315,100,12.980531
328.000874,100,13.186209
298.967978,100,13.396345
283.256563,100,14.925549
302.22895,100,15.02692
280.278,100,15.137976
294.282567,100,15.248505
296.985201,100,15.368376
330.77912,100,15.471971
292.34097,100,15.573711
301.542632,100,15.675168
311.772112,100,15.781065
282.04575,100,15.94481
302.97041,100,17.4012
303.757467,100,17.613583
271.647572,100,17.82318
313.107385,100,18.052852
323.712502,100,18.214166
299.728958,100,18.386021
269.147792,100,18.562831
293.831109,100,18.787534
282.961713,100,19.037233
327.562112,100,19.192051
274.976181,100,20.333236
290.073365,100,20.490269
283.412749,100,20.638485
212.461269,100,20.785391
281.671179,100,20.934037
306.141317,100,21.068795
282.161575,100,21.202188
244.745605,100,21.359729
294.062681,100,21.504052
286.639862,100,21.646344
353.009495,100,22.851147
309.084025,100,23.023825
304.386776,100,23.199914
284.324129,100,23.394512
268.420635,100,23.583397
296.962209,100,23.763802
242.224253,100,23.982626
327.162195,100,24.146517
274.659682,100,24.306792
316.211345,100,24.449672
346.641268,100,25.668444
316.064269,100,25.849688
307.057892,100,26.021501
288.789857,100,26.155506
317.785388,100,26.280449
332.213773,100,26.458064
299.590049,100,26.629261
297.6986,100,26.822426
288.519771,100,27.011064
277.347696,100,27.198474
297.062422,100,28.325434
282.343948,100,28.453955
346.217768,100,28.57018
258.726778,100,28.685642
319.279123,100,28.805667
290.110411,100,28.919821
319.31202,100,29.041558
300.301099,100,29.149634
259.04162,100,29.256639
354.763511,100,29.368167
313.103089,100,30.466781
297.70459,100,30.576285
311.860179,100,30.682728
293.396255,100,30.791928
368.949093,100,30.90684
335.069097,100,31.025347
324.322717,100,31.138945
339.005953,100,31.247812
334.008547,100,31.355745
229.580419,100,31.475157
301.806863,100,32.535792
330.598977,100,32.645944
268.622963,100,32.761729
288.227044,100,32.880054
298.922455,100,32.995942
274.537555,100,33.097172
357.433061,100,33.208759
286.219446,100,33.315177
278.420874,100,33.425744
335.068658,100,33.545153
352.555067,100,34.585909
331.151599,100,34.704671
362.712711,100,34.85123
337.470417,100,35.004951
314.204129,100,35.117941
309.101195,100,35.235671
324.174435,100,35.358667
303.769358,100,35.476886
321.85768,100,35.588281
333.806991,100,35.70202
266.186405,100,36.761732
271.471793,100,36.875305
321.922927,100,36.989025
361.307283,100,37.098811
326.170769,100,37.210506
307.312433,100,37.330491
280.071576,100,37.440631
