#{"t_start": 1784397825.78294, "env_id": "None"}
r,l,t
199.530216,100,1.4155
165.701158,100,1.561719
138.695949,100,1.672793
174.497165,100,1.769971
209.921569,100,1.885267
151.493305,100,1.980032
196.200369,100,2.075169
141.276276,100,2.173783
150.927498,100,2.268785
193.592304,100,2.36785
262.488758,100,3.894331
194.894558,100,4.005913
182.995458,100,4.108108
185.046866,100,4.207188
157.784211,100,4.315295
194.223484,100,4.42151
135.832002,100,4.523853
148.777922,100,4.630112
173.692546,100,4.743092
179.777589,100,4.844372
218.20049,100,6.419212
121.170143,100,6.531558
215.474775,100,6.651743
221.291404,100,6.768712
191.828153,100,6.880508
201.366079,100,6.999719
200.85746,100,7.104008
203.104302,100,7.210368
125.230384,100,7.334094
165.391273,100,7.542693
172.686342,100,8.847445
129.76126,100,8.947671
158.334026,100,9.05374
162.530541,100,9.158507
216.680398,100,9.256777
177.32935,100,9.39135
195.926311,100,9.550539
226.669994,100,9.656929
145.192325,100,9.759511
187.337452,100,9.881365
239.849007,100,11.859658
176.877525,100,11.974081
150.376319,100,12.07949
179.206733,100,12.178717
224.370087,100,12.281779
196.828641,100,12.380895
188.995442,100,12.480336
160.086178,100,12.584976
214.758078,100,12.703522
190.455308,100,12.842317
144.95668,100,15.799134
193.66621,100,15.923431
172.987521,100,16.027392
169.934519,100,16.141223
168.923777,100,16.250566
198.708514,100,16.353279
170.099966,100,16.458105
186.847778,100,16.564709
159.282974,100,16.677155
161.579318,100,16.795441
183.213414,100,18.796343
166.754347,100,18.908233
143.861666,100,19.031452
198.513302,100,19.153158
187.950812,100,19.274887
140.13961,100,19.435686
144.612951,100,19.603674
172.61772,100,19.721938
171.026105,100,19.84546
204.066111,100,19.967259
130.873844,100,21.828798
159.450294,100,21.971626
158.854801,100,22.096138
110.614071,100,22.222321
164.874033,100,22.333502
185.028227,100,22.442113
153.841026,100,22.557319
115.64329,100,22.671605
159.169032,100,22.816773
165.33487,100,22.972692
240.328235,100,24.720333
186.211282,100,24.843671
172.710218,100,24.963199
144.382686,100,25.079443
152.09168,100,25.20759
174.75431,100,25.363808
117.062826,100,25.558354
217.85306,100,25.665397
175.237624,100,25.7897
173.099378,100,25.934012
231.239859,100,27.154092
188.766678,100,27.249462
155.04078,100,27.367738
149.991268,100,27.526329
198.226104,100,27.623165
206.185292,100,27.738299
159.382308,100,27.849633
