#{"t_start": 1784399297.7298515, "env_id": "None"}
r,l,t
183.923043,100,2.172111
181.958869,100,2.487776
160.826323,100,2.74516
169.395873,100,2.985392
233.437074,100,3.23088
160.095847,100,3.483865
175.106497,100,3.709995
193.426231,100,3.920929
110.154868,100,4.158699
173.714762,100,4.412306
94.581909,100,19.060391
172.14811,100,19.300518
135.234505,100,19.604994
145.368558,100,19.910275
195.314671,100,20.223564
216.681892,100,20.526954
219.717015,100,20.855566
175.803154,100,21.169534
179.461398,100,21.491081
247.814079,100,21.8226
185.028444,100,33.897336
151.34359,100,34.047632
196.593885,100,34.195582
186.804177,100,34.347587
149.469096,100,34.523015
201.926017,100,34.687208
210.778363,100,34.853143
119.908209,100,35.000808
222.272394,100,35.175943
172.278478,100,35.415843
107.205927,100,46.79005
221.067159,100,47.16067
184.451726,100,47.495112
200.852628,100,47.760611
185.46521,100,48.062367
213.40144,100,48.391624
153.593588,100,48.72084
192.228997,100,49.020163
194.288231,100,49.306211
169.541718,100,49.607316
183.415767,100,62.327073
201.297295,100,62.490638
202.781314,100,62.671042
180.46055,100,62.839112
248.734193,100,63.025659
239.032132,100,63.217446
181.935113,100,63.479795
160.28475,100,63.649653
258.108567,100,63.84411
222.315981,100,64.027675
212.453691,100,75.588103
175.698268,100,75.75529
202.901203,100,75.930038
224.32319,100,76.106602
264.502731,100,76.2895
207.073395,100,76.493809
182.058257,100,76.726699
183.716955,100,76.925493
240.194457,100,77.113022
175.916921,100,77.279208
189.464125,100,90.418423
236.421968,100,90.739942
179.426913,100,91.075767
157.913682,100,91.419336
235.853369,100,91.723248
168.884749,100,92.007724
185.440201,100,92.337205
158.204836,100,92.652814
184.539004,100,92.987767
244.108034,100,93.299592
194.893513,100,107.901495
239.110528,100,108.093233
241.707307,100,108.295563
218.11499,100,108.491806
218.00012,100,108.687259
175.476752,100,108.879459
207.653093,100,109.052234
250.640891,100,109.223054
155.122556,100,109.487885
208.182294,100,109.668631
164.660811,100,124.398134
194.165868,100,124.561105
255.638184,100,124.719265
265.905234,100,124.875532
228.000666,100,125.044411
226.684041,100,125.212339
217.97743,100,125.369205
241.309439,100,125.537578
293.314725,100,125.73277
206.156692,100,125.973073
228.118506,100,145.41653
261.348183,100,145.844547
149.567579,100,146.188463
229.276847,100,146.598752
137.79022,100,147.004213
192.053934,100,147.389485
193.151492,100,147.802699
178.498287,100,148.017175
191.770088,100,148.19806
204.170394,100,148.350494
211.555829,100,161.308085
208.094403,100,161.492797
215.882284,100,161.722319
199.046021,100,161.970141
155.67196,100,162.117036
166.738688,100,162.29281
248.375924,100,162.45041
248.431563,100,162.610342
257.59489,100,162.781105
235.156252,100,162.959228
253.126821,100,177.282046
264.308218,100,177.606988
249.3283,100,177.93099
189.890865,100,178.195136
199.116319,100,178.512026
275.61435,100,178.845299
175.862011,100,179.161377
262.162026,100,179.486428
232.656919,100,179.833488
194.004475,100,180.090333
241.664424,100,191.399674
261.685212,100,191.539206
223.049199,100,191.705166
220.057303,100,191.959838
154.007336,100,192.127258
203.347185,100,192.310292
255.140163,100,192.470839
252.526686,100,192.624102
159.968982,100,192.791519
165.66143,100,192.96673
284.280937,100,207.234506
234.270433,100,207.410375
204.790386,100,207.600805
156.168519,100,207.859372
312.258207,100,208.071759
226.943048,100,208.266237
270.1942,100,208.455686
259.024385,100,208.639511
258.823741,100,208.823554
201.828431,100,209.022792
259.105518,100,221.206099
255.919579,100,221.362583
191.776978,100,221.518578
301.240362,100,221.694998
201.819854,100,221.953864
232.787566,100,222.105493
264.584696,100,222.263589
313.553837,100,222.4474
210.053057,100,222.615824
244.455272,100,222.789424
199.278278,100,235.44253
189.00701,100,235.660815
