#{"t_start": 1784411697.660258, "env_id": "None"}
r,l,t
177.05438,100,1.511748
132.420456,100,1.651784
194.089054,100,1.839659
210.350846,100,2.053451
160.646337,100,2.320382
199.510069,100,2.486469
155.594824,100,2.660396
176.428769,100,2.825334
138.462111,100,2.992743
210.709349,100,3.147066
198.648767,100,14.741653
209.83314,100,14.912889
225.753413,100,15.068485
198.680753,100,15.236884
152.256131,100,15.396799
197.983489,100,15.543954
175.749316,100,15.703154
143.113327,100,15.850484
189.313145,100,16.012093
194.549001,100,16.16464
196.067295,100,28.202242
219.140633,100,28.377267
223.414675,100,28.614418
180.46995,100,28.803576
219.985008,100,28.974722
144.528121,100,29.147206
166.615872,100,29.305929
174.545835,100,29.455324
149.791664,100,29.611823
220.863577,100,29.788979
239.043778,100,41.133084
229.043566,100,41.301689
173.592455,100,41.453636
206.102129,100,41.61814
186.706264,100,41.789192
172.003686,100,41.959429
224.354642,100,42.109525
165.906066,100,42.263312
186.677801,100,42.414931
221.392591,100,42.655892
155.85825,100,53.870232
178.473408,100,54.239593
210.790175,100,54.611127
215.580381,100,54.795763
203.982719,100,54.959372
205.243121,100,55.113056
188.034893,100,55.253837
229.60868,100,55.403644
188.002745,100,55.557452
241.903114,100,55.737232
195.928833,100,67.648102
180.589795,100,67.895587
186.435513,100,68.136545
188.851891,100,68.363967
167.659701,100,68.680732
225.575607,100,68.900009
172.306062,100,69.102284
228.376592,100,69.312753
194.581157,100,69.517103
196.123907,100,69.734804
178.322839,100,83.285037
253.204001,100,83.482827
174.527769,100,83.693588
155.711938,100,83.921894
161.274164,100,84.112172
214.827765,100,84.308919
202.475781,100,84.549664
188.641359,100,84.830326
234.374018,100,85.063129
188.110962,100,85.263489
207.952187,100,98.094246
249.980016,100,98.414925
193.154954,100,98.737198
245.438543,100,98.993129
171.995467,100,99.29948
203.262051,100,99.607324
267.20197,100,99.917499
177.883582,100,100.220808
158.062376,100,100.527783
241.314459,100,100.819813
180.605567,100,111.991919
233.595307,100,112.160623
237.972109,100,112.328269
277.235061,100,112.508277
224.286379,100,112.782166
170.514375,100,112.931221
257.279881,100,113.102133
257.873726,100,113.26546
198.396139,100,113.423372
248.774084,100,113.571556
224.757688,100,125.993208
236.056436,100,126.309688
210.527535,100,126.636927
197.932724,100,126.914617
160.804138,100,127.185357
262.761663,100,127.48772
226.023975,100,127.794075
205.453291,100,127.990915
199.707327,100,128.16674
259.211071,100,128.332892
243.189137,100,142.353532
237.301118,100,142.520545
220.56984,100,142.673118
289.568801,100,142.920625
182.518262,100,143.08027
215.671573,100,143.257533
292.936771,100,143.437605
228.135412,100,143.597269
191.114675,100,143.752644
247.807111,100,143.913469
129.439075,100,157.16768
243.185562,100,157.36206
225.866747,100,157.502609
258.571211,100,157.645947
214.681426,100,157.807615
175.782846,100,157.962218
242.202224,100,158.124454
244.347981,100,158.286214
209.268986,100,158.438071
267.732872,100,158.593797
257.49398,100,171.767431
134.080386,100,171.987344
183.559523,100,172.209118
232.24316,100,172.411639
317.326494,100,172.612483
201.117514,100,172.847847
198.746996,100,173.085936
225.010969,100,173.30988
195.951119,100,173.494064
290.408213,100,173.681192
196.973618,100,189.247705
174.488837,100,189.428307
292.585525,100,189.594486
135.854585,100,189.795079
222.181642,100,189.972638
242.739132,100,190.177099
173.985266,100,190.365851
195.936637,100,190.552065
228.600257,100,190.724946
218.957457,100,191.034955
174.86867,100,206.884293
235.628027,100,207.051176
240.064154,100,207.392358
211.025099,100,207.744237
215.329063,100,208.129957
189.185352,100,208.519637
209.597176,100,208.906569
299.68931,100,209.306398
217.064793,100,209.650543
274.183635,100,209.955581
309.015733,100,223.924059
222.425891,100,224.28721
238.306394,100,224.648638
244.691763,100,225.024192
292.803352,100,225.370972
270.260387,100,225.693923
271.535355,100,225.886354
191.259849,100,226.04373
284.109798,100,226.19373
253.505238,100,226.345618
236.590672,100,237.790217
244.244365,100,237.954028
232.322786,100,238.112471
213.817273,100,238.266706
246.628176,100,238.433647
226.522778,100,238.598312
237.186355,100,238.762476
195.798424,100,238.935853
233.630676,100,239.095181
180.946961,100,239.36959
254.580335,100,252.23188
188.596403,100,252.393669
184.682713,100,252.554861
224.405432,100,252.710132
243.623715,100,252.883727
242.30048,100,253.04973
181.232626,100,253.282062
257.011083,100,253.474029
199.386365,100,253.65149
228.182235,100,253.81821
260.583106,100,265.10137
327.170268,100,265.366407
221.631769,100,265.543141
253.903609,100,265.718862
233.167961,100,265.86531
265.058378,100,266.006214
241.883874,100,266.151239
266.74597,100,266.300531
183.32945,100,266.444972
245.586485,100,266.58857
226.372014,100,279.808834
199.865057,100,279.987137
190.67062,100,280.15452
211.280714,100,280.330807
272.944122,100,280.499099
229.604163,100,280.664931
251.93582,100,280.850549
206.98513,100,281.025123
204.907464,100,281.250978
241.704644,100,281.487621
270.180385,100,295.094207
279.795369,100,295.283651
281.549227,100,295.601621
253.260795,100,295.846293
238.144921,100,296.064874
242.303234,100,296.270339
267.625319,100,296.464778
250.80777,100,296.653012
227.113996,100,296.824945
254.50784,100,296.999712
274.541281,100,309.639696
345.923138,100,309.819137
183.703763,100,309.966887
234.361624,100,310.120401
250.260899,100,310.264244
245.140838,100,310.416562
282.785456,100,310.569201
229.212099,100,310.724193
246.077275,100,310.880094
292.99363,100,311.033637
254.714335,100,322.213265
250.879607,100,322.365205
231.854972,100,322.525728
265.117003,100,322.677623
281.490392,100,322.844888
278.382496,100,323.002782
263.280686,100,323.176015
236.165092,100,323.344991
270.994514,100,323.60539
288.904794,100,323.774903
251.572851,100,335.928986
305.088307,100,336.079207
303.643343,100,336.227122
273.100524,100,336.383398
273.305181,100,336.543147
275.618485,100,336.719572
262.768558,100,336.883054
254.03649,100,337.043365
326.985661,100,337.202467
305.776633,100,337.407996
267.574863,100,352.077808
296.088094,100,352.236079
273.166179,100,352.404847
224.568783,100,352.559256
287.26862,100,352.707274
285.631586,100,352.862222
233.810678,100,353.014565
233.553256,100,353.173644
271.871046,100,353.315147
322.491412,100,353.462844
205.335964,100,364.959898
238.502842,100,365.126212
201.190137,100,365.282247
232.198209,100,365.42876
301.297367,100,365.569074
209.051259,100,365.718861
238.012774,100,365.975396
253.955771,100,366.152675
206.289542,100,366.323917
230.691893,100,366.480302
230.396236,100,378.271339
263.73822,100,378.46675
299.052971,100,378.653021
229.995059,100,378.854832
213.130851,100,379.029711
287.662295,100,379.181132
320.255281,100,379.349799
217.421402,100,379.506526
290.543937,100,379.682849
249.698919,100,379.921343
223.562598,100,393.612657
246.58575,100,393.990811
307.441548,100,394.286345
280.746785,100,394.667634
347.152706,100,395.03846
286.000076,100,395.39588
257.803126,100,395.771098
273.522322,100,396.153514
248.890207,100,396.448018
287.78697,100,396.637286
302.71213,100,409.330741
263.391638,100,409.719498
315.037231,100,410.099125
212.391509,100,410.452796
297.439237,100,410.871822
304.917312,100,411.197116
294.165755,100,411.523687
287.426966,100,411.848983
272.285776,100,412.167847
217.06883,100,412.435261
306.092972,100,427.339462
292.906857,100,427.503994
254.944497,100,427.690201
333.294503,100,427.894914
270.015701,100,428.210525
308.515947,100,428.409064
316.724602,100,428.592737
296.94517,100,428.775608
256.317526,100,428.959696
272.557947,100,429.146844
199.492429,100,440.852674
316.999637,100,441.00892
297.396715,100,441.157595
265.434225,100,441.307416
253.528659,100,441.451023
314.768483,100,441.59817
306.329792,100,441.750309
251.805174,100,441.910325
226.759616,100,442.188276
303.070008,100,442.352652
350.052545,100,454.399175
207.066065,100,454.590057
340.083911,100,454.771307
327.426724,100,454.926736
325.647118,100,455.06746
241.225042,100,455.228055
264.59231,100,455.38826
312.091647,100,455.563169
293.921425,100,455.729608
285.701171,100,455.880182
244.235537,100,467.314084
283.738482,100,467.507323
280.355661,100,467.712934
342.617302,100,467.895725
278.371142,100,468.065077
233.107885,100,468.230266
262.718923,100,468.396562
292.271741,100,468.560317
295.659436,100,468.830026
276.337347,100,469.05874
239.914709,100,479.902035
291.174253,100,480.05033
226.282675,100,480.195342
319.37623,100,480.338941
237.499665,100,480.477134
256.512356,100,480.640358
316.316705,100,480.896035
276.969605,100,481.051928
333.162295,100,481.231574
279.225933,100,481.399956
346.93542,100,491.93632
241.700828,100,492.090959
234.928494,100,492.241292
302.686838,100,492.399432
280.808221,100,492.565463
200.35098,100,492.805364
225.332285,100,492.985368
310.756334,100,493.156961
273.272182,100,493.310145
199.461777,100,493.461354
