#{"t_start": 1784471920.5283873, "env_id": "None"}
r,l,t
141.319163,100,1.591108
232.277717,100,1.799911
89.217764,100,2.024072
245.615295,100,2.187844
231.253385,100,2.362873
137.25488,100,2.519424
184.162118,100,2.671175
82.410574,100,2.834941
191.369537,100,2.999201
181.188686,100,3.147855
118.461708,100,15.191515
126.274154,100,15.521111
171.860028,100,15.850072
137.10945,100,16.199437
155.108769,100,16.479404
116.177652,100,16.760677
92.441226,100,17.090882
281.882491,100,17.411283
68.92723,100,17.75691
113.732603,100,18.110739
88.819684,100,30.163955
140.251276,100,30.319551
249.45575,100,30.480171
126.704847,100,30.631606
131.690668,100,30.793222
212.803555,100,30.947246
142.993566,100,31.113767
82.197707,100,31.281358
200.903889,100,31.447399
146.869869,100,31.64849
218.610784,100,41.445145
118.466638,100,41.59183
183.888318,100,41.739961
158.472048,100,41.888913
126.488213,100,42.035444
242.490657,100,42.181784
88.157984,100,42.324543
54.06104,100,42.465939
121.349419,100,42.611932
198.43655,100,42.762677
121.882349,100,53.692944
169.605698,100,53.901893
271.070944,100,54.095015
126.782647,100,54.30682
240.330259,100,54.539314
247.733501,100,54.743239
274.389991,100,54.934994
118.057755,100,55.112867
280.224334,100,55.295233
282.456529,100,55.478355
228.836598,100,68.352407
118.247998,100,68.568182
93.100314,100,68.775953
253.591965,100,69.069691
145.412568,100,69.306973
82.296428,100,69.503717
143.436894,100,69.69036
111.203639,100,69.878997
273.778458,100,70.073798
117.438277,100,70.265569
145.755232,100,80.149029
279.663116,100,80.294235
108.248651,100,80.441329
235.908444,100,80.603303
161.278852,100,80.775217
186.463004,100,80.97713
223.624535,100,81.25725
257.773127,100,81.424232
157.935947,100,81.586787
255.228111,100,81.767715
195.362115,100,91.051448
253.84964,100,91.29266
128.675926,100,91.444361
75.925683,100,91.590965
252.999069,100,91.741048
233.531209,100,91.908229
308.113004,100,92.054094
275.914423,100,92.192797
145.59082,100,92.33413
147.350376,100,92.487485
169.918233,100,102.699782
74.224871,100,102.8613
234.96027,100,103.023058
217.754164,100,103.282652
116.518329,100,103.4607
129.65012,100,103.636008
216.23217,100,103.815792
72.587409,100,103.975574
244.508851,100,104.144531
100.637424,100,104.331342
136.580075,100,119.088739
159.655993,100,119.32096
243.6756,100,119.459463
297.305593,100,119.62321
191.456262,100,119.78889
141.114959,100,119.942345
119.931787,100,120.098789
140.203785,100,120.260564
133.5488,100,120.433212
236.905236,100,120.59623
226.866987,100,131.913607
109.581564,100,132.0721
111.069205,100,132.234826
355.262964,100,132.404073
164.702614,100,132.55064
182.441905,100,132.702888
321.071869,100,132.885055
99.05683,100,133.047917
129.008047,100,133.311347
228.437421,100,133.453959
242.004423,100,144.97089
209.510962,100,145.213169
145.162539,100,145.399342
152.598124,100,145.569664
186.53618,100,145.735684
159.737101,100,145.893901
364.234158,100,146.063268
124.419233,100,146.234616
118.912702,100,146.395547
251.390964,100,146.544264
291.622252,100,158.704753
280.196371,100,158.861792
288.748647,100,159.02277
248.120803,100,159.273444
245.807909,100,159.446759
317.407421,100,159.631997
164.817806,100,159.787949
217.380609,100,159.947713
375.790194,100,160.113157
221.195565,100,160.264511
199.919566,100,171.896658
248.937241,100,172.046504
340.459074,100,172.192609
132.694736,100,172.348589
200.333099,100,172.516984
225.942466,100,172.683585
316.27493,100,172.844605
142.44544,100,173.000332
148.385349,100,173.157169
278.669077,100,173.335571
191.634111,100,184.137556
216.908772,100,184.29691
158.288674,100,184.453752
221.378752,100,184.621283
254.470729,100,184.783115
190.08449,100,184.950678
100.79666,100,185.103708
180.755499,100,185.260462
219.239241,100,185.52306
138.749013,100,185.689082
347.807536,100,198.27589
277.392738,100,198.445258
287.643939,100,198.599999
195.739003,100,198.751892
158.357438,100,198.906655
155.162069,100,199.059025
135.162099,100,199.219534
151.45776,100,199.373947
313.734139,100,199.538199
309.158368,100,199.690104
291.298045,100,212.413678
165.769172,100,212.584883
285.34053,100,212.757206
215.73989,100,212.946347
261.397606,100,213.133019
307.558194,100,213.308189
150.129402,100,213.497792
95.088502,100,213.687348
135.479285,100,213.912933
180.587672,100,214.163104
165.427256,100,226.720797
95.27914,100,226.913117
165.625794,100,227.092175
161.30146,100,227.272982
145.799876,100,227.463684
302.859244,100,227.65646
168.679933,100,227.844032
393.10998,100,228.026911
128.258979,100,228.197227
197.839221,100,228.501055
235.141775,100,239.241219
327.932705,100,239.379823
326.825629,100,239.525893
173.579727,100,239.672898
138.772507,100,239.822264
355.318206,100,240.085904
309.335095,100,240.24113
165.376944,100,240.432203
295.403564,100,240.592501
166.823807,100,240.754163
263.436283,100,251.708217
298.257238,100,251.849052
160.431487,100,251.996309
305.197284,100,252.141277
160.012093,100,252.281266
175.632346,100,252.431573
266.697372,100,252.583574
205.218481,100,252.871014
280.84326,100,253.076634
309.133963,100,253.282128
186.705046,100,265.259825
337.453376,100,265.422723
113.043815,100,265.585337
328.79347,100,265.751698
299.342186,100,265.916274
212.116603,100,266.083891
351.444315,100,266.251177
219.587584,100,266.427773
194.901291,100,266.648962
251.159488,100,266.890408
205.571272,100,277.994107
250.229782,100,278.200533
159.57402,100,278.39796
271.253541,100,278.577003
196.201139,100,278.756252
184.44215,100,278.932856
158.561733,100,279.113116
287.293985,100,279.272176
130.493767,100,279.446268
209.648233,100,279.628055
237.867335,100,303.999785
322.098819,100,304.155454
209.43624,100,304.299006
148.295646,100,304.534803
290.123292,100,304.717479
267.096913,100,304.862794
225.433538,100,305.006537
289.42873,100,305.147343
165.141096,100,305.312964
323.580239,100,305.454142
344.961345,100,316.465838
406.300256,100,316.625876
169.460692,100,316.916011
318.640173,100,317.078906
178.849556,100,317.261012
198.697737,100,317.417937
198.207542,100,317.557671
176.300414,100,317.702854
344.403552,100,317.872528
307.883354,100,318.067965
320.290894,100,329.637744
254.262668,100,329.784123
291.914002,100,329.945813
136.379651,100,330.09525
284.804864,100,330.267688
167.403,100,330.434525
361.296616,100,330.594938
147.822935,100,330.828405
259.106309,100,331.035338
140.289888,100,331.223908
223.175337,100,342.879452
339.642841,100,343.037104
338.017744,100,343.180518
331.398109,100,343.328935
186.551838,100,343.582991
308.570535,100,343.76782
165.179471,100,343.950967
252.587322,100,344.10228
380.320771,100,344.254191
340.210939,100,344.405741
271.039625,100,355.930704
324.52066,100,356.107255
381.49333,100,356.263128
281.921261,100,356.417075
261.390071,100,356.572052
181.754794,100,356.720414
190.730942,100,356.871932
196.266548,100,357.024157
250.331411,100,357.176294
147.330842,100,357.324954
187.168159,100,369.065525
313.606751,100,369.227563
193.355757,100,369.374691
285.667967,100,369.618575
126.447845,100,369.782436
325.265788,100,369.938037
153.883023,100,370.079876
163.993717,100,370.224762
355.025766,100,370.377099
196.785019,100,370.531149
268.997332,100,383.016426
312.738215,100,383.178289
230.564309,100,383.360731
382.73174,100,383.523017
228.773127,100,383.677918
245.093448,100,383.837457
216.02391,100,383.993608
270.632348,100,384.163129
164.599298,100,384.31408
179.795221,100,384.464176
134.4861,100,395.496832
380.173088,100,395.655067
313.339824,100,395.799482
160.453372,100,395.961336
352.542609,100,396.120255
191.335354,100,396.272908
195.880474,100,396.479714
190.308698,100,396.722275
253.796804,100,396.894551
350.416388,100,397.055559
299.431435,100,407.524511
169.500613,100,407.681262
205.749276,100,407.84425
308.486112,100,408.007439
319.630196,100,408.186108
186.898072,100,408.349069
168.265314,100,408.510106
142.338514,100,408.680094
336.768803,100,408.942221
195.878423,100,409.122854
316.748485,100,420.320243
327.469951,100,420.471275
176.551642,100,420.613823
236.564522,100,420.782065
260.71301,100,420.933399
348.688619,100,421.107746
205.40183,100,421.365243
272.667768,100,421.53074
190.02355,100,421.700871
195.645902,100,421.849079
282.616366,100,434.926061
160.251428,100,435.251241
191.717264,100,435.572628
234.598526,100,435.892031
202.460429,100,436.215643
261.687644,100,436.541068
383.255831,100,436.838528
270.111647,100,437.156626
204.069764,100,437.472494
227.348201,100,437.799895
219.901446,100,451.403196
282.756567,100,451.575533
286.063676,100,451.749127
262.682632,100,451.919818
371.30024,100,452.09078
358.30425,100,452.28671
277.122551,100,452.528831
337.283421,100,452.752235
263.844008,100,452.95283
217.983064,100,453.123129
392.77322,100,466.245894
283.807472,100,466.419945
362.440051,100,466.579023
334.482381,100,466.738896
160.982246,100,466.895223
317.140032,100,467.050854
358.039111,100,467.317102
319.039711,100,467.480467
197.747698,100,467.666074
341.746122,100,467.836214
184.184863,100,478.637655
344.732075,100,478.78457
185.379702,100,478.94171
156.580937,100,479.122929
309.767252,100,479.374126
185.351266,100,479.529243
371.010392,100,479.712579
322.554181,100,479.872196
260.273756,100,480.02377
430.901971,100,480.166801
360.518798,100,491.014986
