#{"t_start": 1784499439.7676427, "env_id": "None"}
r,l,t
379.338953,100,1.593848
380.962699,100,1.771619
325.874499,100,1.928
295.484067,100,2.106749
265.873446,100,2.29438
295.915227,100,2.464307
274.707175,100,2.641747
386.894091,100,2.811781
390.044931,100,3.006288
398.008481,100,3.245366
286.975457,100,14.685019
361.891121,100,14.90147
322.283844,100,15.209022
375.394067,100,15.394342
264.335124,100,15.590492
427.556664,100,15.754491
357.096367,100,15.932628
332.819747,100,16.099969
229.659264,100,16.274435
239.694372,100,16.442491
310.466854,100,27.965106
240.470278,100,28.128832
315.481539,100,28.27856
359.157128,100,28.441814
303.08653,100,28.615774
284.435047,100,28.775368
339.916927,100,28.942763
290.227564,100,29.234779
325.317381,100,29.390177
347.041993,100,29.571244
350.458883,100,40.184224
292.663692,100,40.332418
265.351027,100,40.498956
244.794962,100,40.650932
303.822518,100,40.797796
407.344148,100,40.941339
338.369183,100,41.087906
362.642391,100,41.252363
317.845495,100,41.531472
397.041912,100,41.694969
248.511885,100,53.374224
356.784858,100,53.531922
431.364452,100,53.817475
427.362713,100,53.971116
290.101057,100,54.153311
402.740568,100,54.305793
273.167855,100,54.458673
384.258766,100,54.615389
212.760533,100,54.779973
410.622265,100,54.945098
251.18951,100,65.374346
395.425125,100,65.536291
287.272363,100,65.818047
257.465471,100,65.965333
428.821161,100,66.13643
307.806204,100,66.288818
238.898981,100,66.437061
410.242597,100,66.604936
382.679135,100,66.766928
359.343986,100,66.930604
443.629095,100,78.023541
386.917292,100,78.168005
381.64253,100,78.311766
426.713942,100,78.456961
377.980827,100,78.623637
308.794725,100,78.893564
237.183754,100,79.053415
431.174711,100,79.232546
382.13157,100,79.371869
429.640782,100,79.52066
370.062844,100,93.316924
425.272323,100,93.640677
318.908989,100,93.951523
312.465823,100,94.253174
412.359165,100,94.568205
382.514937,100,94.898766
467.278121,100,95.182373
367.095705,100,95.455458
446.362642,100,95.770593
322.144531,100,96.062933
333.607768,100,108.908103
310.462773,100,109.144634
248.901306,100,109.323498
331.151285,100,109.500107
286.690221,100,109.660539
238.357211,100,109.823851
309.46903,100,109.995398
407.5552,100,110.154327
443.748844,100,110.314412
426.408907,100,110.468271
432.702385,100,123.677079
379.526045,100,124.059053
439.999355,100,124.446516
438.206246,100,124.828235
324.584191,100,125.181899
248.727698,100,125.506541
261.503841,100,125.888303
323.561793,100,126.266763
401.561095,100,126.632035
449.106168,100,127.023607
370.693186,100,137.40094
457.504789,100,137.577486
436.300142,100,137.743192
430.243135,100,137.892452
387.549017,100,138.042474
379.496196,100,138.205801
405.895283,100,138.359614
350.504263,100,138.519188
394.621747,100,138.711519
291.001088,100,138.882592
306.532603,100,150.999037
430.728048,100,151.261111
318.849259,100,151.453157
427.405533,100,151.642423
438.835592,100,151.825995
365.533941,100,152.023332
370.079543,100,152.222522
277.27177,100,152.392594
336.589944,100,152.568659
447.535317,100,152.757231
338.717474,100,164.844478
373.690993,100,165.146446
311.456399,100,165.331922
435.645215,100,165.5388
413.353932,100,165.734452
390.824717,100,165.918295
491.314195,100,166.111433
435.01331,100,166.300738
384.974432,100,166.490157
319.030985,100,166.674936
437.817108,100,181.363898
455.197783,100,181.541969
364.36423,100,181.705048
433.319552,100,181.85575
295.840414,100,182.005328
284.393841,100,182.178633
377.830028,100,182.337565
468.103795,100,182.510051
450.464057,100,182.703646
400.041506,100,182.870587
464.811737,100,194.517252
458.413292,100,194.697683
395.291272,100,194.890688
364.224669,100,195.186594
332.980425,100,195.369265
418.794635,100,195.566572
339.526088,100,195.752044
455.773871,100,195.932667
455.283117,100,196.130676
417.182337,100,196.31651
481.515652,100,207.874718
427.735968,100,208.030518
456.485461,100,208.178782
349.96296,100,208.321479
443.645246,100,208.49945
463.070848,100,208.663273
382.624806,100,208.84099
396.809232,100,208.989604
361.778868,100,209.138706
353.757652,100,209.288883
472.015054,100,220.345879
475.972317,100,220.549238
391.669673,100,220.763524
457.295741,100,220.985588
470.781703,100,221.193878
298.680019,100,221.394097
399.736415,100,221.736971
445.276548,100,221.923291
457.707997,100,222.128512
478.59222,100,222.316515
416.690992,100,234.129528
468.085174,100,234.289991
420.928151,100,234.4604
463.693973,100,234.636893
355.76859,100,234.813645
356.463455,100,234.999668
386.618048,100,235.166441
452.325863,100,235.332752
349.369001,100,235.503504
463.486688,100,235.792602
401.77884,100,246.055193
430.993496,100,246.206071
468.409923,100,246.364627
466.260094,100,246.526327
436.068057,100,246.741429
382.585769,100,246.964254
468.545159,100,247.133525
381.713334,100,247.311989
489.973878,100,247.478595
365.161349,100,247.647818
444.863327,100,258.163527
347.502327,100,258.31448
455.10154,100,258.484842
410.56491,100,258.660624
399.883244,100,258.837214
388.72666,100,259.004353
344.594455,100,259.267848
339.377668,100,259.425889
311.7574,100,259.610859
396.645451,100,259.773602
487.361918,100,271.453736
489.089521,100,271.685911
442.441367,100,271.88364
346.357928,100,272.080592
466.136332,100,272.282517
473.226404,100,272.480057
315.532357,100,272.678084
346.494651,100,272.879611
435.70609,100,273.141261
283.069323,100,273.390679
487.265619,100,287.438004
487.656298,100,287.652964
499.721519,100,287.861487
399.564292,100,288.053908
365.358193,100,288.266757
395.458212,100,288.465558
500.524154,100,288.682567
377.987382,100,288.917357
476.708432,100,289.195589
484.229536,100,289.411239
402.120942,100,303.11268
447.373824,100,303.407469
472.22997,100,303.658294
388.166607,100,303.977016
417.341802,100,304.29206
424.370906,100,304.634059
498.668763,100,304.96158
377.189679,100,305.284065
364.214863,100,305.562982
492.657727,100,305.881698
473.676108,100,318.525576
411.134163,100,318.713677
465.166685,100,318.887858
471.308571,100,319.051037
441.821288,100,319.319538
439.501748,100,319.503615
344.469847,100,319.692005
467.779797,100,319.854879
486.527142,100,320.011929
473.495718,100,320.176824
459.811884,100,331.907391
455.984328,100,332.073706
416.784055,100,332.254347
348.104161,100,332.436229
338.485506,100,332.616972
343.188808,100,332.788575
489.363936,100,332.948941
372.870442,100,333.145169
462.95416,100,333.384638
396.975955,100,333.560268
385.77139,100,344.253023
351.487809,100,344.438073
362.316553,100,344.616251
470.951337,100,344.799877
480.976596,100,344.975611
473.823916,100,345.227181
367.314773,100,345.460053
441.06144,100,345.661089
358.305383,100,345.834421
362.849762,100,346.019765
378.472997,100,357.790287
479.95258,100,357.949191
383.53587,100,358.111338
489.532548,100,358.287743
474.365464,100,358.446473
481.495076,100,358.609273
484.167612,100,358.788556
481.038344,100,358.94554
467.287619,100,359.113145
353.849017,100,359.368302
336.751994,100,372.944166
438.088562,100,373.261237
487.888556,100,373.528326
463.60066,100,373.818336
476.68748,100,374.098581
383.464403,100,374.395909
467.422114,100,374.704702
495.7887,100,375.017464
440.265515,100,375.3283
478.910659,100,375.58067
340.33166,100,387.742629
490.557947,100,387.933089
412.815998,100,388.12083
292.150494,100,388.310872
444.466933,100,388.522472
468.016381,100,388.741533
475.134892,100,388.939018
394.707496,100,389.160305
449.754293,100,389.410479
497.957443,100,389.627563
489.49351,100,403.322009
488.797724,100,403.583309
489.991694,100,403.883424
354.427649,100,404.202509
486.263799,100,404.529907
475.243284,100,404.861556
328.775346,100,405.176696
475.825192,100,405.477183
365.77107,100,405.755668
400.000194,100,406.070222
368.120166,100,419.828639
454.163938,100,419.994303
394.346112,100,420.154511
391.552083,100,420.317873
412.507202,100,420.474474
493.624071,100,420.618894
444.842559,100,420.773162
399.859868,100,420.932799
510.322234,100,421.124852
387.357086,100,421.377808
382.834356,100,433.809078
519.808607,100,434.014378
473.062035,100,434.22419
491.418953,100,434.459255
403.281604,100,434.699424
481.108922,100,434.927262
480.870769,100,435.18999
481.60343,100,435.469712
395.215177,100,435.720896
468.011874,100,435.947979
427.300674,100,449.639022
378.565663,100,449.825538
376.55562,100,450.006193
464.735947,100,450.190288
379.623643,100,450.38004
463.540902,100,450.556671
418.032413,100,450.737961
396.63785,100,450.920804
408.298023,100,451.131089
436.450052,100,451.393402
417.263389,100,461.802946
437.26099,100,462.089689
487.599635,100,462.253564
476.710033,100,462.430968
505.067118,100,462.584663
489.061057,100,462.739498
441.755831,100,462.89136
433.703203,100,463.056292
505.205124,100,463.207582
494.402809,100,463.351408
465.05448,100,474.592166
413.83737,100,474.769817
469.810364,100,474.955335
320.144019,100,475.114065
493.38971,100,475.27118
510.550564,100,475.43379
380.139793,100,475.601264
413.119136,100,475.763774
494.053669,100,476.05481
383.14215,100,476.215813
415.310591,100,490.262193
518.421615,100,490.4301
396.064797,100,490.574076
357.442603,100,490.728385
396.674936,100,490.879812
386.19339,100,491.033761
468.210585,100,491.192509
427.584169,100,491.346025
373.975955,100,491.508569
385.394596,100,491.657246
367.476859,100,503.01043
311.637049,100,503.15677
440.361592,100,503.297744
485.251514,100,503.447813
466.118759,100,503.593608
395.829829,100,503.766162
489.862518,100,504.050108
491.276652,100,504.219288
488.379014,100,504.38718
430.921595,100,504.553771
441.703198,100,516.683757
489.060962,100,516.864904
411.289474,100,517.031397
439.315516,100,517.1868
421.280601,100,517.343293
429.676225,100,517.508429
430.3554,100,517.672679
498.347518,100,517.868011
501.545175,100,518.116641
422.410589,100,518.282665
427.7564,100,530.877754
403.898635,100,531.067328
410.625165,100,531.242904
478.123015,100,531.422674
477.928496,100,531.591004
496.91666,100,531.773355
498.540221,100,532.0449
452.207142,100,532.22504
377.210307,100,532.40814
454.153607,100,532.572876
319.884825,100,545.255034
495.432418,100,545.422426
501.570818,100,545.588715
482.84409,100,545.774482
501.920277,100,546.032019
500.02876,100,546.215643
390.615778,100,546.400417
485.180669,100,546.567694
422.249372,100,546.726607
493.729538,100,546.909657
505.387608,100,559.245441
509.579388,100,559.400548
423.085919,100,559.556929
398.878045,100,559.717109
425.558433,100,559.962558
489.714766,100,560.146971
426.408062,100,560.332448
418.053471,100,560.508494
297.912525,100,560.667766
444.148594,100,560.834714
412.528153,100,572.597698
488.40493,100,572.765968
414.448405,100,572.922383
500.660912,100,573.089505
503.224347,100,573.240827
463.458256,100,573.40262
455.585973,100,573.573025
447.244001,100,573.738264
441.341436,100,573.981518
499.524595,100,574.137258
364.122684,100,584.745387
479.795694,100,584.933028
513.660544,100,585.106489
454.23928,100,585.276342
440.875944,100,585.4388
392.641613,100,585.603693
490.415356,100,585.768243
445.082142,100,586.037842
518.687789,100,586.194306
495.876231,100,586.378897
357.823253,100,597.265963
460.155095,100,597.404932
468.201483,100,597.55389
499.336048,100,597.702848
501.417495,100,597.885798
501.746256,100,598.128785
502.636826,100,598.290471
504.970963,100,598.472018
423.935531,100,598.655975
501.244613,100,598.844464
495.109191,100,614.266761
417.90884,100,614.442249
376.984276,100,614.60762
439.937256,100,614.767159
480.719055,100,614.92946
455.900066,100,615.08268
510.404862,100,615.23542
466.407768,100,615.373944
407.289924,100,615.540415
516.392332,100,615.707307
456.313693,100,627.320253
502.106174,100,627.513812
482.622821,100,627.70137
490.996694,100,627.915004
510.223703,100,628.173867
511.469058,100,628.384583
504.276936,100,628.586707
360.54268,100,628.79748
512.677199,100,628.992092
504.116796,100,629.180439
494.659634,100,640.955439
437.878241,100,641.116859
506.896261,100,641.309899
470.893999,100,641.492764
484.640088,100,641.666882
465.510485,100,641.840861
447.224397,100,642.022028
499.178467,100,642.22717
496.457566,100,642.546631
429.163374,100,642.762629
514.433395,100,653.352982
498.2823,100,653.506982
492.816693,100,653.66959
480.888316,100,653.824909
411.41658,100,653.986146
445.498746,100,654.132229
405.970068,100,654.279409
428.458538,100,654.4244
451.785998,100,654.648594
383.582365,100,654.860284
502.534471,100,665.124821
509.141975,100,665.26925
467.879573,100,665.416372
488.370216,100,665.606816
447.40148,100,665.826881
487.967883,100,665.969887
490.614574,100,666.1473
425.6936,100,666.296871
483.444527,100,666.444046
508.134464,100,666.590223
504.102199,100,678.352811
432.767585,100,678.501935
420.033137,100,678.656035
475.84693,100,678.823958
410.62498,100,678.987598
424.671896,100,679.145873
412.639568,100,679.301285
409.140588,100,679.451474
488.833965,100,679.682307
493.161856,100,679.874831
425.746625,100,693.51824
466.442395,100,693.794047
343.743749,100,693.938808
397.6394,100,694.112739
455.386817,100,694.265483
495.660697,100,694.412055
462.484292,100,694.561005
448.452232,100,694.715417
486.302697,100,694.880862
407.654234,100,695.020472
409.9096,100,705.580699
392.474008,100,705.732724
509.297893,100,705.974371
502.709496,100,706.150302
489.283456,100,706.323507
512.998774,100,706.473907
450.253315,100,706.626942
491.709826,100,706.78885
454.909438,100,706.947465
500.596335,100,707.105087
505.576212,100,717.609462
519.606239,100,717.761848
507.600079,100,718.025659
498.809099,100,718.190362
488.111271,100,718.372212
512.755464,100,718.5474
502.044719,100,718.708473
511.267005,100,718.891659
494.792869,100,719.054203
504.159382,100,719.203914
470.397491,100,731.807522
487.654949,100,731.97121
465.219078,100,732.114812
501.8025,100,732.267178
440.43272,100,732.463867
513.242436,100,732.708851
478.805553,100,732.862672
489.697337,100,733.036069
509.455323,100,733.191351
458.172247,100,733.342044
471.58387,100,744.648801
410.359983,100,744.792551
474.063624,100,744.939605
414.043344,100,745.209745
481.835222,100,745.367937
495.244344,100,745.533261
447.778563,100,745.696426
457.859367,100,745.846261
441.413072,100,745.988494
519.109907,100,746.130456
460.109846,100,756.819062
465.533483,100,756.973784
433.800989,100,757.135709
461.271613,100,757.289989
426.091711,100,757.450589
441.001179,100,757.612966
479.34967,100,757.765625
506.00695,100,758.030875
485.911994,100,758.181143
451.056803,100,758.35845
421.206957,100,769.462271
454.97871,100,769.611627
505.999854,100,769.769237
499.741406,100,770.041199
471.761091,100,770.221584
501.85819,100,770.374269
442.993992,100,770.534734
499.626931,100,770.690324
502.386612,100,770.854281
498.090888,100,771.0049
481.701799,100,783.480665
499.578671,100,783.647155
415.43415,100,783.841091
402.214607,100,784.074466
513.17956,100,784.261873
483.679247,100,784.417533
480.894027,100,784.593108
506.371558,100,784.747102
510.339703,100,784.914042
477.171062,100,785.07244
431.904134,100,798.534342
444.026653,100,798.698667
502.070297,100,798.860836
434.241645,100,799.014007
473.143824,100,799.172334
487.323324,100,799.319566
418.676048,100,799.465887
480.537745,100,799.62051
503.818527,100,799.774385
511.49721,100,800.035176
448.270231,100,811.556578
391.471492,100,811.719537
503.31566,100,811.987749
468.503522,100,812.138529
494.280022,100,812.317956
510.981093,100,812.490721
516.991617,100,812.649159
511.072283,100,812.801807
351.332349,100,812.98035
475.265475,100,813.139427
424.343821,100,824.509032
453.789107,100,824.66093
497.973277,100,824.819333
503.653323,100,824.974043
489.044872,100,825.127036
516.073641,100,825.281758
443.624643,100,825.429506
510.626387,100,825.577826
522.26612,100,825.728578
471.453233,100,825.867977
504.846657,100,836.207839
498.054581,100,836.356698
475.356558,100,836.522404
498.039664,100,836.701572
498.413834,100,836.872454
491.718637,100,837.040876
427.696747,100,837.309071
514.482365,100,837.472427
454.449359,100,837.661565
447.514648,100,837.822898
492.071456,100,849.14747
471.792626,100,849.338875
469.439422,100,849.52885
505.990377,100,849.716898
401.898734,100,849.90043
463.245057,100,850.172921
496.55114,100,850.364295
497.904833,100,850.573855
491.379419,100,850.772471
512.44666,100,850.963606
504.488173,100,1.569341
501.511326,100,1.719185
468.207954,100,1.871988
480.264452,100,2.017786
454.92641,100,2.162113
499.964881,100,2.382969
446.59816,100,2.601915
499.268904,100,2.758832
512.962471,100,2.927955
499.554611,100,3.07495
474.360731,100,14.445939
491.1617,100,14.710148
482.545555,100,14.877731
513.518971,100,15.031781
439.063869,100,15.20215
509.332967,100,15.362212
508.335038,100,15.523506
472.420523,100,15.685944
413.128413,100,15.862838
411.948341,100,16.007854
475.923157,100,26.463539
411.856771,100,26.605789
504.824615,100,26.764379
484.627788,100,26.915096
467.972591,100,27.064861
434.910553,100,27.216421
497.525122,100,27.479333
453.272743,100,27.660126
477.854305,100,27.858006
501.323447,100,28.030415
481.127561,100,39.477913
495.107687,100,39.65504
480.46792,100,39.832344
413.370659,100,39.997922
438.66791,100,40.142907
500.504781,100,40.284037
510.996169,100,40.436568
483.956388,100,40.58572
458.50186,100,40.740077
498.458043,100,40.894823
407.074583,100,51.458122
483.370739,100,51.61223
522.410988,100,51.762192
519.927418,100,51.903289
446.854315,100,52.067198
503.612198,100,52.350507
428.905933,100,52.519891
503.620926,100,52.689901
385.577477,100,52.857353
506.621291,100,53.023067
417.732137,100,64.892627
494.296273,100,65.226485
428.050199,100,65.566579
406.95245,100,65.838662
499.545237,100,66.11148
498.272876,100,66.443618
425.120306,100,66.776368
511.777724,100,67.111236
504.049938,100,67.454963
478.607607,100,67.793138
518.944276,100,79.979786
505.86962,100,80.257228
492.173224,100,80.588093
503.422518,100,80.906557
503.808159,100,81.218649
481.997758,100,81.53187
373.525856,100,81.853125
522.574712,100,82.164953
496.507165,100,82.435828
514.701018,100,82.744358
498.055573,100,95.182762
498.011386,100,95.342358
474.082501,100,95.513579
475.983215,100,95.665005
481.795447,100,95.830432
512.936164,100,95.993642
519.828475,100,96.170945
465.991659,100,96.345868
506.757643,100,96.506234
475.193799,100,96.665231
487.672174,100,107.977117
470.446597,100,108.199358
416.349766,100,108.395285
492.68118,100,108.590227
441.620739,100,108.767802
418.9589,100,109.030471
462.773376,100,109.210594
511.657869,100,109.406413
510.219903,100,109.566121
506.006506,100,109.7417
509.589444,100,121.971937
453.077948,100,122.299061
507.668766,100,122.634062
521.42835,100,122.962849
450.93951,100,123.22923
408.734819,100,123.532081
417.624835,100,123.825495
456.740216,100,124.115652
495.528478,100,124.402921
513.10089,100,124.708992
482.26501,100,136.542092
511.689075,100,136.738411
497.61998,100,137.052231
506.237656,100,137.276536
472.467647,100,137.486071
491.408142,100,137.684209
508.520431,100,137.866681
473.314883,100,138.063852
492.372736,100,138.24967
425.786346,100,138.438733
460.119903,100,153.005683
512.75265,100,153.249861
472.440612,100,153.533604
497.928149,100,153.816231
506.351236,100,154.106354
469.249116,100,154.398806
460.206662,100,154.679997
